BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                10520  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '                  '  /                                              
FILENAME= 'PG1351F.FITS      '  /  IRAF filename                               
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2015-08-12T19:03:57' / Date FITS file was generated                  
IRAF-TLM= '2015-08-12T19:03:57' / Time of last modification                     
APNUM1  = '1 1     '                                                            
WCSDIM  =                    1                                                  
CTYPE1  = 'LINEAR  '                                                            
CRVAL1  =              1150.01                                                  
CRPIX1  =                   1.                                                  
CDELT1  =    0.030511835725829                                                  
CD1_1   =    0.030511835725829                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear'                                                        
DC-FLAG =                    0                                                  
END                                                                             
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
1151.47456811484  8.952981E-15
1151.50507995057  8.828165E-15
1151.53559178629  1.117414E-14
1151.56610362202  1.159988E-14
1151.59661545774  9.197038E-15
1151.62712729347  1.112496E-14
1151.6576391292  1.006631E-14
1151.68815096492  9.605880E-15
1151.71866280065  1.045779E-14
1151.74917463637  1.104490E-14
1151.7796864721  9.879227E-15
1151.81019830782  9.600602E-15
1151.84071014355  1.095385E-14
1151.87122197928  1.246243E-14
1151.901733815  1.332688E-14
1151.93224565073  8.232150E-15
1151.96275748645  1.309537E-14
1151.99326932218  1.132073E-14
1152.0237811579  9.036545E-15
1152.05429299363  5.741864E-15
1152.08480482936  6.137680E-15
1152.11531666508  7.199380E-15
1152.14582850081  7.921784E-15
1152.17634033653  1.069547E-14
1152.20685217226  1.174930E-14
1152.23736400799  9.527604E-15
1152.26787584371  8.771970E-15
1152.29838767944  7.308182E-15
1152.32889951516  7.064759E-15
1152.35941135089  8.588146E-15
1152.38992318661  1.116823E-14
1152.42043502234  9.998188E-15
1152.45094685807  9.134541E-15
1152.48145869379  6.093287E-15
1152.51197052952  5.745551E-15
1152.54248236524  5.596013E-15
1152.57299420097  4.184169E-15
